userid,version,sum_gamerounds,retention_1,retention_7,Retention,NewRetention,group
116,gate_30,3,False,False,0,False-False,A
337,gate_30,38,True,False,0,True-False,A
377,gate_40,165,True,False,0,True-False,B
483,gate_40,1,False,False,0,False-False,B
488,gate_40,179,True,True,1,True-True,B
540,gate_40,187,True,True,1,True-True,B
1066,gate_30,0,False,False,0,False-False,A
1444,gate_40,2,False,False,0,False-False,B
1574,gate_40,108,True,True,1,True-True,B
1587,gate_40,153,True,False,0,True-False,B
1842,gate_40,3,False,True,0,False-True,B
2101,gate_30,0,False,False,0,False-False,A
2132,gate_40,30,True,False,0,True-False,B
2179,gate_30,39,True,False,0,True-False,A
2218,gate_30,305,True,True,1,True-True,A
2382,gate_30,73,True,False,0,True-False,A
2392,gate_30,14,True,False,0,True-False,A
2451,gate_30,204,True,True,1,True-True,A
2482,gate_30,108,True,True,1,True-True,A
2502,gate_40,1,False,False,0,False-False,B
2530,gate_40,9,True,False,0,True-False,B
2534,gate_30,5,True,False,0,True-False,A
2695,gate_40,45,True,False,0,True-False,B
2729,gate_30,105,False,True,0,False-True,A
2829,gate_30,4,False,False,0,False-False,A
2963,gate_30,3,False,False,0,False-False,A
3095,gate_30,0,False,False,0,False-False,A
3132,gate_40,80,True,True,1,True-True,B
3186,gate_40,4,False,False,0,False-False,B
3199,gate_30,5,False,False,0,False-False,A
3204,gate_40,53,True,True,1,True-True,B
3413,gate_30,37,True,False,0,True-False,A
3690,gate_30,13,True,False,0,True-False,A
3696,gate_30,50,False,False,0,False-False,A
3993,gate_40,202,True,True,1,True-True,B
4076,gate_40,0,False,False,0,False-False,B
4162,gate_30,23,False,False,0,False-False,A
4176,gate_30,0,False,False,0,False-False,A
4283,gate_30,103,False,False,0,False-False,A
4594,gate_30,27,False,False,0,False-False,A
4653,gate_40,15,False,False,0,False-False,B
4881,gate_30,0,False,False,0,False-False,A
4902,gate_40,1,False,False,0,False-False,B
4916,gate_40,49,True,False,0,True-False,B
4918,gate_30,7,False,False,0,False-False,A
4929,gate_30,386,True,True,1,True-True,A
4945,gate_40,25,True,False,0,True-False,B
5066,gate_30,1,False,False,0,False-False,A
5215,gate_30,13,True,False,0,True-False,A
5286,gate_30,12,True,False,0,True-False,A
5345,gate_40,6,False,False,0,False-False,B
5479,gate_30,25,True,False,0,True-False,A
5550,gate_30,29,True,False,0,True-False,A
5661,gate_30,136,True,False,0,True-False,A
5712,gate_30,105,True,True,1,True-True,A
5920,gate_40,10,True,False,0,True-False,B
5943,gate_40,76,False,False,0,False-False,B
6099,gate_40,138,False,False,0,False-False,B
6123,gate_30,0,False,False,0,False-False,A
6151,gate_30,94,True,True,1,True-True,A
6156,gate_40,1,False,False,0,False-False,B
6492,gate_30,0,False,False,0,False-False,A
6664,gate_40,26,True,False,0,True-False,B
6695,gate_40,127,True,False,0,True-False,B
6833,gate_40,6,False,False,0,False-False,B
6842,gate_40,4,False,False,0,False-False,B
6924,gate_30,21,False,False,0,False-False,A
6930,gate_40,297,True,True,1,True-True,B
7124,gate_40,108,True,True,1,True-True,B
7253,gate_30,45,True,False,0,True-False,A
7321,gate_40,33,False,False,0,False-False,B
7509,gate_40,0,False,False,0,False-False,B
7527,gate_30,80,False,False,0,False-False,A
7564,gate_30,21,False,False,0,False-False,A
7582,gate_40,3,False,False,0,False-False,B
7767,gate_30,139,True,True,1,True-True,A
7866,gate_30,14,False,False,0,False-False,A
8063,gate_30,50,True,False,0,True-False,A
8254,gate_40,14,False,False,0,False-False,B
8256,gate_40,14,False,False,0,False-False,B
8288,gate_30,9,False,False,0,False-False,A
8317,gate_40,3,False,False,0,False-False,B
8379,gate_30,0,False,False,0,False-False,A
8464,gate_30,10,False,False,0,False-False,A
8465,gate_40,4,False,False,0,False-False,B
8494,gate_30,5,True,False,0,True-False,A
8644,gate_30,2,False,False,0,False-False,A
8679,gate_30,0,False,False,0,False-False,A
8692,gate_30,3,True,False,0,True-False,A
8753,gate_40,10,True,False,0,True-False,B
8788,gate_30,19,False,True,0,False-True,A
8801,gate_40,0,False,False,0,False-False,B
8885,gate_40,5,False,False,0,False-False,B
9001,gate_40,16,True,False,0,True-False,B
9308,gate_40,95,True,False,0,True-False,B
9443,gate_40,3,False,False,0,False-False,B
9589,gate_30,8,False,False,0,False-False,A
9699,gate_40,8,False,False,0,False-False,B
9828,gate_40,1,False,False,0,False-False,B
9831,gate_40,3,False,False,0,False-False,B
9849,gate_40,1,False,False,0,False-False,B
10112,gate_30,6,False,False,0,False-False,A
10200,gate_40,106,False,True,0,False-True,B
10218,gate_30,22,True,False,0,True-False,A
10276,gate_40,1,False,False,0,False-False,B
10336,gate_30,11,False,False,0,False-False,A
10476,gate_40,4,False,False,0,False-False,B
10533,gate_40,21,False,False,0,False-False,B
10598,gate_40,8,False,False,0,False-False,B
10636,gate_30,246,True,True,1,True-True,A
10637,gate_40,0,False,False,0,False-False,B
10676,gate_40,6,False,False,0,False-False,B
10756,gate_30,16,False,False,0,False-False,A
10884,gate_40,49,True,False,0,True-False,B
11093,gate_40,54,True,True,1,True-True,B
11127,gate_30,66,True,True,1,True-True,A
11297,gate_30,0,False,False,0,False-False,A
11411,gate_30,122,True,True,1,True-True,A
11420,gate_30,75,True,False,0,True-False,A
11599,gate_30,3,False,False,0,False-False,A
11675,gate_40,17,False,False,0,False-False,B
11747,gate_30,1,True,False,0,True-False,A
11840,gate_30,24,False,False,0,False-False,A
11886,gate_30,3,False,False,0,False-False,A
12053,gate_30,11,True,False,0,True-False,A
12067,gate_40,7,False,False,0,False-False,B
12163,gate_30,47,True,False,0,True-False,A
12393,gate_40,1,False,False,0,False-False,B
12461,gate_40,4,False,False,0,False-False,B
12523,gate_30,31,True,False,0,True-False,A
12558,gate_30,13,False,False,0,False-False,A
12574,gate_30,22,True,False,0,True-False,A
12749,gate_30,6,True,False,0,True-False,A
12905,gate_40,1,False,False,0,False-False,B
12951,gate_40,2,False,False,0,False-False,B
12967,gate_30,24,True,False,0,True-False,A
12979,gate_30,6,False,False,0,False-False,A
13133,gate_40,6,False,False,0,False-False,B
13216,gate_30,24,True,False,0,True-False,A
13228,gate_40,9,False,False,0,False-False,B
13320,gate_40,34,False,False,0,False-False,B
13321,gate_40,56,False,False,0,False-False,B
13376,gate_40,12,True,False,0,True-False,B
13429,gate_30,60,False,True,0,False-True,A
13494,gate_40,10,True,False,0,True-False,B
13633,gate_30,67,False,False,0,False-False,A
13664,gate_30,42,True,True,1,True-True,A
13721,gate_40,65,True,False,0,True-False,B
13758,gate_30,1,False,False,0,False-False,A
13806,gate_30,4,False,False,0,False-False,A
13856,gate_30,3,False,False,0,False-False,A
13872,gate_30,1,False,False,0,False-False,A
13893,gate_40,14,False,False,0,False-False,B
13969,gate_40,42,False,False,0,False-False,B
14143,gate_30,13,False,False,0,False-False,A
14218,gate_30,129,False,True,0,False-True,A
14290,gate_40,6,True,False,0,True-False,B
14296,gate_30,37,False,False,0,False-False,A
14381,gate_40,9,False,False,0,False-False,B
14592,gate_30,1,False,False,0,False-False,A
14644,gate_40,2,False,False,0,False-False,B
14834,gate_30,27,False,False,0,False-False,A
15157,gate_40,38,False,False,0,False-False,B
15173,gate_30,8,False,False,0,False-False,A
15294,gate_30,51,True,True,1,True-True,A
15489,gate_30,5,False,False,0,False-False,A
15597,gate_40,2,False,False,0,False-False,B
15962,gate_30,0,False,False,0,False-False,A
